sports,supernatural,comedy,ecchi,sci-fi,psychological,mahou shoujo,horror,drama,thriller,action,mystery,hentai,music,fantasy,adventure,mecha,slice of life,romance
3550,1571,335,2163,538,8081,8653,3603,360,126911,442,2683,2444,15793,603,521,1262,2075,499
3568,1580,337,2172,539,8100,8756,3625,361,127162,446,2690,2445,15893,605,522,1270,2082,504
3768,1587,341,2217,540,8481,8972,3710,362,128546,447,2704,2446,16233,607,523,1285,2102,506
3769,1594,343,2260,541,8663,9288,3713,363,129201,459,2726,2447,16506,611,525,1286,2150,507
3791,1606,348,2291,543,8689,9393,3801,369,131149,460,2781,2469,16646,612,527,1288,2155,509
3800,1607,350,2307,544,9253,9506,3906,372,131773,461,2899,2479,17020,613,528,1289,2166,510
3806,1628,351,2317,545,9260,9756,3908,376,132071,462,2924,2480,17249,616,530,1290,2167,514
3808,1629,352,2332,548,9318,9862,3992,380,132455,463,2931,2505,17423,617,532,1296,2180,517
3825,1658,353,2367,555,9447,9893,3998,381,135429,467,2965,2506,17437,620,534,1297,2218,519
3827,1664,354,2384,556,9509,9911,4003,384,136080,468,2967,2507,17725,629,535,1298,2222,520
3844,1666,355,2403,557,9662,9979,4004,385,137667,473,2972,2530,17933,647,536,1299,2223,521
3870,1667,357,2494,559,9756,10028,4044,387,138700,474,2985,2531,18245,664,537,1301,2225,522
3874,1681,365,2497,560,9829,10153,4082,388,138961,478,2994,2532,18781,678,543,1312,2309,524
3887,1686,366,2524,561,9922,10217,4084,390,,479,3024,2533,19023,679,544,1335,2402,526
3931,1702,367,2525,562,9976,10359,4085,393,,482,3091,2539,19053,682,552,1346,2406,529
4053,1705,370,2526,563,10161,10491,4095,394,,483,3245,2540,19111,683,554,1347,2450,530
4062,1742,371,2527,564,10271,10519,4350,395,,486,3254,2541,19177,684,561,1348,2454,531
4121,1749,373,2528,565,10417,10549,4484,401,,492,3294,2551,19213,687,562,1349,2463,532
4176,1750,374,2595,566,10620,10736,4531,407,,493,3309,2588,19219,688,565,1350,2486,538
4298,1765,375,2602,567,10624,10770,4556,408,,498,3363,2590,19597,689,568,1380,2498,543
4339,1767,378,2610,568,10714,10821,4581,411,,499,3396,2681,19817,709,569,1382,2499,546
4439,1777,379,2730,569,10721,11569,4821,416,,502,3435,2721,20033,721,571,1383,2508,547
4440,1804,382,2737,571,10793,11751,4823,427,,504,3457,2788,20181,732,572,1397,2526,548
4444,1805,383,2748,572,10798,11977,4853,428,,515,3574,2794,20452,738,573,1398,2544,554
4621,1815,386,2755,574,10851,11979,4896,429,,530,3614,2798,20455,740,581,1399,2546,555
5002,1889,392,2784,579,11111,11981,4917,430,,531,3652,2821,20492,754,584,1400,2547,556
5028,1937,394,2790,584,11285,12101,4983,431,,532,3673,2838,20498,757,585,1405,2548,557
5029,1951,400,2905,593,11597,12191,5034,433,,537,3701,2841,20512,765,589,1409,2549,563
5040,1965,403,2910,598,11869,12221,5039,435,,539,3713,2852,20516,771,592,1410,2553,570
5085,1966,404,2967,608,11977,12373,5177,437,,540,3743,2858,20554,786,594,1411,2554,571
5141,1973,407,2993,609,11979,12569,5308,438,,541,3778,2859,20560,789,597,1444,2555,576
5197,1996,412,3023,615,11981,12591,5624,439,,543,3782,2861,20581,791,598,1448,2557,577
5200,2004,415,3064,619,12035,12963,5649,440,,544,3783,2862,20620,807,599,1450,2558,585
5217,2018,416,3074,622,12053,12971,5688,441,,548,3813,2863,20640,808,602,1457,2559,587
5228,2022,418,3085,629,12133,13931,5918,442,,550,3859,2864,20648,812,603,1458,2563,588
5231,2023,419,3095,630,12135,14563,6016,444,,551,3901,2866,20649,831,606,1459,2564,590
5258,2051,421,3112,631,12137,14751,6061,446,,552,4003,2867,20662,834,607,1460,2573,591
5273,2056,422,3121,633,12503,14829,6069,447,,565,4202,2868,20665,839,608,1465,2575,595
5287,2099,423,3157,648,12769,15211,6184,448,,566,4280,2869,20676,845,613,1480,2576,596
5589,2102,424,3205,652,12919,15307,6267,449,,567,4282,2870,20680,856,617,1491,2577,604
5671,2105,425,3229,653,13053,15407,6270,450,,568,4382,2871,20693,859,618,1504,2611,605
5674,2125,426,3259,654,13125,15793,6271,451,,570,4447,2872,20742,860,619,1528,2623,608
5675,2126,427,3264,655,13203,16157,6276,452,,572,4752,2873,20743,866,623,1529,2738,609
5751,2130,429,3306,681,13303,16419,6344,470,,573,4756,2874,20747,867,624,1542,2751,611
5814,2131,430,3323,685,13405,16442,6472,471,,577,4789,2875,20766,868,633,1544,2753,612
5826,2132,435,3328,686,13601,16656,6809,472,,581,4819,2883,20794,869,635,1563,2800,614
5832,2142,442,3342,687,14345,17357,6880,473,,589,4879,2894,20815,870,636,1574,2801,617
5834,2145,443,3391,693,14353,17497,6904,474,,594,4896,2896,20838,872,647,1575,2802,622
5872,2154,445,3417,696,14515,17651,6920,475,,598,4898,2917,20843,873,664,1583,2828,623
5941,2167,449,3419,705,15045,17725,6978,476,,599,4918,2935,20847,874,665,1586,2829,625
5962,2168,451,3455,708,15689,17919,6980,479,,603,4938,2936,20868,879,666,1598,2830,626
5967,2170,452,3482,709,16009,17947,7079,483,,617,4941,2943,20912,884,678,1602,2831,629
5968,2198,454,3503,711,16201,18851,7662,496,,621,4975,2944,20917,885,679,1603,2912,630
5994,2219,456,3558,719,16592,19109,7724,502,,635,5081,2945,20924,891,687,1626,2920,631
5996,2246,458,3616,731,16700,19207,7856,503,,650,5088,2946,20947,892,705,1627,2921,633
6055,2251,459,3625,732,16762,20452,8074,504,,665,5157,2955,20950,893,708,1631,2931,634
6076,2252,460,3640,744,16782,20467,8081,506,,666,5177,2956,20961,896,709,1643,2942,637
6392,2262,461,3642,751,17012,20472,8145,509,,690,5204,2957,20968,897,712,1647,2950,641
6418,2336,462,3654,758,17074,20530,8146,510,,691,5205,2958,20985,898,731,1665,2953,642
6675,2340,463,3667,763,17187,20549,8149,512,,693,5288,2959,20989,899,738,1666,2963,644
6840,2354,464,3712,764,17729,20560,8150,514,,709,5348,2960,21039,900,751,1675,3011,647
6842,2355,465,3745,765,19191,20577,8152,519,,712,5460,2977,21044,901,754,1678,3088,648
6999,2356,466,3816,766,19193,20616,8153,520,,719,5468,2979,21069,902,757,1682,3113,649
7048,2359,469,3884,767,19195,20784,8154,522,,732,5578,2982,21071,903,759,1690,3159,651
7092,2366,470,3889,769,19315,20800,8155,524,,738,5630,2988,21086,904,760,1693,3162,656
7155,2369,471,3948,770,20505,20820,8156,525,,740,5918,2989,21094,906,761,1694,3165,660
7160,2373,479,4003,773,20513,20845,8157,526,,751,5926,2990,21096,908,762,1712,3167,661
7247,2384,482,4042,785,20526,20862,8158,528,,758,6069,2991,21107,936,763,1737,3174,667
7266,2400,485,4063,790,20555,20877,8162,529,,762,6091,3034,21113,942,764,1746,3182,668
7479,2404,487,4078,800,20593,20945,8182,531,,763,6115,3039,21118,943,765,1768,3196,669
7498,2441,488,4136,801,20595,21001,8194,532,,767,6172,3040,21137,957,773,1774,3199,670
7525,2442,489,4149,810,20605,21025,8208,543,,777,6198,3046,21207,962,779,1789,3219,675
7655,2486,490,4166,812,20607,21042,8226,546,,791,6231,3048,21213,965,780,1792,3225,676
7661,2523,491,4188,816,20613,21121,8227,547,,792,6372,3050,21250,969,781,1793,3297,677
7720,2526,495,4195,817,20615,21134,8228,548,,801,6401,3056,21255,985,790,1816,3312,682
7793,2527,501,4196,820,20623,21137,8278,553,,808,6408,3058,21260,990,792,1819,3335,683
7836,2538,502,4214,832,20647,21293,8475,554,,813,6438,3062,21270,996,796,1820,3345,684
8042,2580,505,4361,833,20661,21323,8539,556,,815,6467,3063,21297,997,807,1832,3424,685
8156,2592,507,4421,840,20677,21325,8920,558,,821,6573,3066,21307,1005,808,1845,3425,687
8179,2593,508,4451,848,20714,21340,8986,559,,822,6610,3078,21329,1017,812,1848,3449,692
8196,2596,509,4591,849,20751,21379,9056,560,,834,6624,3082,21332,1018,813,1849,3462,694
8216,2745,510,4688,854,20752,21412,9159,565,,839,6637,3093,21342,1028,825,1850,3468,695
8245,2780,511,4718,856,20754,21422,9287,570,,842,6674,3094,21376,1030,833,1851,3469,696
8316,2781,512,4719,858,20791,21440,9345,572,,854,6707,3102,21409,1031,834,1868,3470,704
8410,2848,516,4760,859,20800,21462,9509,573,,856,6736,3105,21412,1033,844,1873,3512,710
8415,2889,517,4786,864,20827,21467,9544,577,,857,6746,3107,21440,1035,845,1897,3513,713
8423,2931,519,4841,865,20850,21479,9662,578,,859,6783,3108,21453,1036,854,1899,3545,714
8522,2967,520,4842,873,20919,21504,9824,584,,860,6864,3109,21454,1037,859,1900,3570,715
8542,2983,521,4903,878,20931,21506,9829,585,,878,6927,3140,21456,1044,865,1911,3604,718
8786,2985,524,4999,887,20932,21508,9882,587,,882,6954,3160,21460,1045,866,1916,3624,719
9028,2988,527,5020,888,20952,21543,9935,589,,883,6974,3171,21476,1046,867,1917,3641,721
9032,2994,528,5025,890,20965,21672,10003,593,,884,6980,3211,21477,1049,868,1935,3691,722
9078,3001,533,5042,892,21008,21673,10083,595,,887,7079,3239,21488,1072,869,1939,3736,725
9124,3023,534,5045,893,21011,21714,10245,597,,888,7303,3250,21504,1076,872,1944,3745,729
9163,3057,535,5056,894,21056,21738,10417,598,,889,7304,3254,21508,1087,873,1947,3750,730
9164,3077,536,5112,895,21057,21834,10418,600,,891,7305,3286,21512,1094,874,1964,3823,733
9165,3090,538,5163,896,21126,21835,10490,604,,892,7311,3300,21530,1098,875,1967,3841,734
9166,3091,539,5234,897,21189,21865,10620,608,,893,7338,3301,21559,1099,876,1968,3946,736
9177,3095,540,5274,898,21190,21871,10681,609,,896,7459,3302,21564,1105,882,1969,3947,740
9201,3174,541,5277,899,21234,21873,11077,610,,897,7471,3303,21584,1108,889,1975,3965,741
9205,3218,545,5279,900,21262,21892,11111,611,,898,7588,3307,21638,1116,890,1980,3975,743
9242,3248,550,5333,901,21274,87488,11411,616,,899,7598,3308,21645,1117,891,1985,3977,744
9243,3302,553,5343,902,21291,97769,11499,619,,900,7662,3309,21648,1118,892,1986,4015,746
9244,3322,554,5353,903,21340,97856,11679,620,,901,7724,3324,21672,1121,893,1991,4054,747
9284,3323,555,5549,904,21355,97858,11687,622,,902,7768,3329,21673,1123,894,1992,4059,748
9424,3342,557,5584,905,21399,97859,11691,627,,903,7785,3334,21683,1130,895,1999,4081,752
9646,3354,558,5585,906,21400,97860,11701,633,,904,7939,3350,21697,1132,896,2000,4091,756
9665,3359,563,5640,909,21496,97881,11837,634,,906,8278,3370,21726,1135,897,2001,4136,758
9693,3420,564,5647,918,21498,98059,11869,635,,913,8331,3377,21751,1137,898,2002,4138,760
9744,3427,566,5648,919,21507,98220,11915,636,,916,8425,3378,21759,1139,899,2003,4181,776
9748,3449,569,5667,924,21665,98513,11995,644,,917,8481,3379,21773,1140,900,2028,4201,788
9759,3457,571,5675,925,21701,98554,12113,647,,918,8609,3380,21809,1141,901,2042,4202,797
9857,3479,573,5715,926,21711,98599,12115,648,,935,8915,3382,21810,1143,902,2048,4224,811
9858,3503,576,5764,927,21714,98739,12445,656,,937,8986,3383,21849,1150,903,2058,4382,817
9890,3507,579,5772,928,21717,98746,12481,661,,938,9154,3384,21850,1157,904,2060,4383,818
9905,3513,580,5781,929,21718,98785,12483,664,,944,9260,3385,21872,1161,905,2061,4418,819
9916,3534,581,5877,930,21719,98843,12485,665,,949,9509,3393,21887,1162,906,2062,4419,823
10109,3614,582,5914,932,21745,98891,12769,666,,953,9782,3396,87435,1164,909,2067,4472,824
10257,3625,587,5958,935,21772,99614,12833,667,,958,9785,3402,87479,1170,910,2068,4477,835
10323,3641,588,5973,937,21803,99642,12961,670,,961,9786,3403,87484,1171,911,2084,4483,836
10346,3652,590,6023,938,21825,99657,13055,671,,967,9839,3411,87495,1172,912,2085,4511,837
10360,3654,591,6030,944,21826,99712,13125,675,,968,9846,3422,87530,1174,915,2086,4535,840
10370,3655,594,6050,949,21832,100010,13807,676,,971,9882,3427,97618,1176,917,2089,4550,846
10435,3656,596,6112,953,97595,100269,14117,677,,974,9941,3428,97631,1180,924,2090,4554,850
10507,3681,597,6166,956,97669,100661,14189,678,,977,9963,3439,97683,1181,925,2094,4591,852
10554,3710,599,6201,958,97757,100715,15037,679,,978,9981,3442,97707,1182,926,2106,4660,853
10563,3713,601,6205,962,97769,100791,15045,685,,979,10083,3452,97709,1193,927,2108,4772,854
10572,3747,602,6217,967,97880,100814,16091,688,,985,10104,3454,97765,1195,928,2109,4782,855
10573,3782,603,6227,971,97922,100980,16592,689,,986,10163,3478,97820,1200,929,2110,4811,858
